"A global company with a large number of AWS accounts is seeking a way in which they can centrally manage billing and security policies across all accounts. Which AWS Service will assist them in meeting these goals?
<ol type=""A"">
<li>AWS Organizations</li>
<li>AWS Trusted Advisor</li>
<li>IAM User Groups</li>
<li>AWS Config</li>
</ol>"	"Answer
  Correct answer: A
"	practice-exam-2
"Which service provides object-level storage in AWS?
<ol type=""A"">
<li>Amazon EBS</li>
<li>Amazon Instance Store</li>
<li>Amazon EFS</li>
<li>Amazon S3</li>
</ol>"	"Answer
  Correct answer: D
"	practice-exam-2
"A company is concerned that they are spending money on underutilized compute resources in AWS. Which AWS feature will help ensure that their applications are automatically adding/removing EC2 compute capacity to closely match the required demand?
<ol type=""A"">
<li>AWS Elastic Load Balancer</li>
<li>AWS Budgets</li>
<li>AWS Auto Scaling</li>
<li>AWS Cost Explorer</li>
</ol>"	"Answer
  Correct answer: C
"	practice-exam-2
"Which S3 storage class is best for data with unpredictable access patterns?
<ol type=""A"">
<li>Amazon S3 Intelligent-Tiering</li>
<li>Amazon S3 Glacier Flexible Retrieval</li>
<li>Amazon S3 Standard</li>
<li>Amazon S3 Standard-Infrequent Access</li>
</ol>"	"Answer
  Correct answer: A
"	practice-exam-2
"What is the AWS database service that allows you to upload data structured in key-value format?
<ol type=""A"">
<li>Amazon DynamoDB</li>
<li>Amazon Aurora</li>
<li>Amazon Redshift</li>
<li>Amazon RDS</li>
</ol>"	"Answer
  Correct answer: A
"	practice-exam-2
"Which of the following is NOT correct regarding Amazon EC2 On-demand instances?
<ol type=""A"">
<li>You have to pay a start-up fee when launching a new instance for the first time</li>
<li>The on-demand instances follow the AWS pay-as-you-go pricing model</li>
<li>With on-demand instances, no longer-term commitments or upfront payments are needed</li>
<li>When using on-demand Linux instances, you are charged per second based on an hourly rate</li>
</ol>"	"Answer
  Correct answer: A
"	practice-exam-2
"A company has moved to AWS recently. Which of the following AWS Services will help ensure that they have the proper security settings? (Choose TWO)
<ol type=""A"">
<li>AWS Trusted Advisor</li>
<li>Amazon Inspector</li>
<li>Amazon SNS</li>
<li>Amazon CloudWatch</li>
<li>Concierge Support Team</li>
</ol>"	"Answer
  Correct answer: A, B
"	practice-exam-2
"What is the AWS feature that provides an additional level of security above the default authentication mechanism of usernames and passwords?
<ol type=""A"">
<li>Encrypted keys</li>
<li>Email verification</li>
<li>AWS KMS</li>
<li>AWS MFA</li>
</ol>"	"Answer
  Correct answer: D
"	practice-exam-2
"A company is introducing a new product to their customers, and is expecting a surge in traffic to their web application. As part of their Enterprise Support plan, which of the following provides the company with architectural and scaling guidance?
<ol type=""A"">
<li>AWS Knowledge Center</li>
<li>AWS Health Dashboard</li>
<li>Infrastructure Event Management</li>
<li>AWS Support Concierge Service</li>
</ol>"	"Answer
  Correct answer: C
"	practice-exam-2
"You work as an on-premises MySQL DBA. The work of database configuration, backups, patching, and DR can be time-consuming and repetitive. Your company has decided to migrate to the AWS Cloud. Which of the following can help save time on database maintenance so you can focus on data architecture and performance?
<ol type=""A"">
<li>Amazon RDS</li>
<li>Amazon Redshift</li>
<li>Amazon DynamoDB</li>
<li>Amazon CloudWatch</li>
</ol>"	"Answer
  Correct answer: A
"	practice-exam-2
"Which of the below is a best-practice when designing solutions on AWS?
<ol type=""A"">
<li>Invest heavily in architecting your environment, as it is not easy to change your design later</li>
<li>Use AWS reservations to reduce costs when testing your production environment</li>
<li>Automate wherever possible to make architectural (© ) experimentation easier</li>
<li>Provision a large compute capacity to handle any spikes in load</li>
</ol>"	"Answer
  Correct answer: C
"	practice-exam-2
"According to the AWS Acceptable Use Policy, which of the following statements is true regarding penetration testing of EC2 instances?
<ol type=""A"">
<li>Penetration testing is not allowed in AWS</li>
<li>Penetration testing is performed automatically by AWS to determine vulnerabilities in your AWS infrastructure</li>
<li>Penetration testing can be performed by the customer on their own instances without prior authorization from AWS</li>
<li>The AWS customers are only allowed to perform penetration testing on services managed by AWS</li>
</ol>"	"Answer
  Correct answer: C
"	practice-exam-2
"Which service is used to ensure that messages between software components are not lost if one or more components fail?
<ol type=""A"">
<li>Amazon SQS</li>
<li>Amazon SES</li>
<li>AWS Direct Connect</li>
<li>Amazon Connect</li>
</ol>"	"Answer
  Correct answer: A
"	practice-exam-2
"The principle “design for failure and nothing will fail” is very important when designing your AWS Cloud architecture. Which of the following would help adhere to this principle? (Choose TWO)
<ol type=""A"">
<li>Multi-factor authentication</li>
<li>Availability Zones</li>
<li>Elastic Load Balancing</li>
<li>Penetration testing</li>
<li>Vertical Scaling</li>
</ol>"	"Answer
  Correct answer: B, C
"	practice-exam-2
"What is the AWS service that provides a virtual network dedicated to your AWS account?
<ol type=""A"">
<li>AWS VPN</li>
<li>AWS Subnets</li>
<li>AWS Dedicated Hosts</li>
<li>Amazon VPC</li>
</ol>"	"Answer
  Correct answer: D
"	practice-exam-2
"According to the AWS Shared responsibility model, which of the following are the responsibility of the customer? (Choose TWO)
<ol type=""A"">
<li>Managing environmental events of AWS data centers</li>
<li>Protecting the confidentiality of data in transit in Amazon S3</li>
<li>Controlling physical access to AWS Regions</li>
<li>Ensuring that the underlying EC2 host is configured properly</li>
<li>Patching applications installed on Amazon EC2</li>
</ol>"	"Answer
  Correct answer: B, E
"	practice-exam-2
"Which of the following AWS services can be used as a compute resource? (Choose TWO)
<ol type=""A"">
<li>Amazon VPC</li>
<li>Amazon CloudWatch</li>
<li>Amazon S3</li>
<li>Amazon EC2</li>
<li>AWS Lambda</li>
</ol>"	"Answer
  Correct answer: D, E
"	practice-exam-2
"Your company is designing a new application that will store and retrieve photos and videos. Which of the following services should you recommend as the underlying storage mechanism?
<ol type=""A"">
<li>Amazon EBS</li>
<li>Amazon SQS</li>
<li>Amazon S3</li>
<li>Amazon Instance store</li>
</ol>"	"Answer
  Correct answer: C
"	practice-exam-2
"Which of the following is equivalent to a user name and password and is used to authenticate your programmatic access to AWS services and APIs?
<ol type=""A"">
<li>Instance Password</li>
<li>Key pairs</li>
<li>Access Keys</li>
<li>MFA</li>
</ol>"	"Answer
  Correct answer: C
"	practice-exam-2
"What does Amazon ElastiCache provide?
<ol type=""A"">
<li>In-memory caching for read-heavy applications</li>
<li>An Ehcache compatible in-memory data store</li>
<li>An online software store that allows Customers to launch pre-configured software with just few clicks</li>
<li>A domain name system in the cloud</li>
</ol>"	"Answer
  Correct answer: A
"	practice-exam-2
"What is the AWS service that enables you to manage all of your AWS accounts from a single master account?
<ol type=""A"">
<li>AWS WAF</li>
<li>AWS Trusted Advisor</li>
<li>AWS Organizations</li>
<li>Amazon Config</li>
</ol>"	"Answer
  Correct answer: C
"	practice-exam-2
